CARD,2,3,4,5,6,7,8,9,10,J,Q,K,A
2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3,TRUE,TRUE,,,,,,,,,,,
4,TRUE,TRUE,TRUE,,,,,,,,,,
5,TRUE,TRUE,TRUE,TRUE,,,,,,,,,
6,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,
7,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,
8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,
9,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,
10,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,
J,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,
Q,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,
K,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE